FIPS,State Abr.,County name,CBSA title,CBSA 2012 pop,County 2012 pop,2013 code,2006 code,1990-based code,
1001,AL,Autauga County,"Montgomery, AL",377149,55514,3,3,3,
1003,AL,Baldwin County,"Daphne-Fairhope-Foley, AL",190790,190790,4,5,3,
1005,AL,Barbour County,,.,27201,6,5,5,
1007,AL,Bibb County,"Birmingham-Hoover, AL",1136650,22597,2,2,6,
1009,AL,Blount County,"Birmingham-Hoover, AL",1136650,57826,2,2,3,
1011,AL,Bullock County,,.,10474,6,6,6,
1013,AL,Butler County,,.,20307,6,6,6,
1015,AL,Calhoun County,"Anniston-Oxford-Jacksonville, AL",117296,117296,4,4,4,
1017,AL,Chambers County,"Valley, AL",34064,34064,5,5,6,
1019,AL,Cherokee County,,.,26021,6,6,6,
1021,AL,Chilton County,"Birmingham-Hoover, AL",1136650,43819,2,2,6,
1023,AL,Choctaw County,,.,13633,6,6,6,
1025,AL,Clarke County,,.,25161,6,6,6,
1027,AL,Clay County,,.,13435,6,6,6,
1029,AL,Cleburne County,,.,14832,6,6,6,
1031,AL,Coffee County,"Enterprise, AL",51252,51252,5,5,5,
1033,AL,Colbert County,"Florence-Muscle Shoals, AL",146988,54446,4,4,4,
1035,AL,Conecuh County,,.,12981,6,6,6,
1037,AL,Coosa County,"Talladega-Sylacauga, AL",92728,10966,5,5,6,
1039,AL,Covington County,,.,37955,6,6,6,
1041,AL,Crenshaw County,,.,14083,6,6,6,
1043,AL,Cullman County,"Cullman, AL",80440,80440,5,5,5,
1045,AL,Dale County,"Ozark, AL",50444,50444,5,5,4,
1047,AL,Dallas County,"Selma, AL",42864,42864,5,5,5,
1049,AL,DeKalb County,,.,71080,6,5,5,
1051,AL,Elmore County,"Montgomery, AL",377149,80629,3,3,3,
1053,AL,Escambia County,,.,37994,6,6,6,
1055,AL,Etowah County,"Gadsden, AL",104392,104392,4,4,4,
1057,AL,Fayette County,,.,16983,6,6,6,
1059,AL,Franklin County,,.,31761,6,6,6,
1061,AL,Geneva County,"Dothan, AL",147620,26931,4,4,6,
1063,AL,Greene County,,.,8876,6,4,6,
1065,AL,Hale County,"Tuscaloosa, AL",233389,15388,4,4,6,
1067,AL,Henry County,"Dothan, AL",147620,17287,4,4,6,
1069,AL,Houston County,"Dothan, AL",147620,103402,4,4,4,
1071,AL,Jackson County,"Scottsboro, AL",53019,53019,5,5,5,
1073,AL,Jefferson County,"Birmingham-Hoover, AL",1136650,660009,1,1,3,
1075,AL,Lamar County,,.,14259,6,6,6,
1077,AL,Lauderdale County,"Florence-Muscle Shoals, AL",146988,92542,4,4,4,
1079,AL,Lawrence County,"Decatur, AL",154233,33838,4,4,4,
1081,AL,Lee County,"Auburn-Opelika, AL",147257,147257,4,4,5,
1083,AL,Limestone County,"Huntsville, AL",430734,87654,3,3,3,
1085,AL,Lowndes County,"Montgomery, AL",377149,10857,3,3,6,
1087,AL,Macon County,,.,20535,6,5,5,
1089,AL,Madison County,"Huntsville, AL",430734,343080,3,3,3,
1091,AL,Marengo County,,.,20401,6,6,6,
1093,AL,Marion County,,.,30327,6,6,6,
1095,AL,Marshall County,"Albertville, AL",94776,94776,5,5,5,
1097,AL,Mobile County,"Mobile, AL",413936,413936,3,3,3,
1099,AL,Monroe County,,.,22602,6,6,6,
1101,AL,Montgomery County,"Montgomery, AL",377149,230149,3,3,3,
1103,AL,Morgan County,"Decatur, AL",154233,120395,4,4,4,
1105,AL,Perry County,,.,10181,6,6,6,
1107,AL,Pickens County,"Tuscaloosa, AL",233389,19405,4,6,6,
1109,AL,Pike County,"Troy, AL",33182,33182,5,5,5,
1111,AL,Randolph County,,.,22675,6,6,6,
