"County"	"County Code"	"Deaths"	"Population"	"Crude Rate"	"Age Adjusted Rate"	"% of Total Deaths"
	"Autauga County, AL"	"01001"	7893	918492	859.3	958.8	0.0%
	"Baldwin County, AL"	"01003"	30292	3102984	976.2	812.6	0.1%
	"Barbour County, AL"	"01005"	5197	499262	1040.9	951.7	0.0%
	"Bibb County, AL"	"01007"	4089	397470	1028.8	1025.5	0.0%
	"Blount County, AL"	"01009"	9912	997531	993.7	929.4	0.0%
	"Bullock County, AL"	"01011"	2305	197588	1166.6	1030.4	0.0%
	"Butler County, AL"	"01013"	4986	374201	1332.4	1031.9	0.0%
	"Calhoun County, AL"	"01015"	24273	2073654	1170.5	1069.3	0.1%
	"Chambers County, AL"	"01017"	8333	628820	1325.2	1040.5	0.0%
	"Cherokee County, AL"	"01019"	5479	454744	1204.9	985.0	0.0%
	"Chilton County, AL"	"01021"	8150	762303	1069.1	1029.4	0.0%
	"Choctaw County, AL"	"01023"	3077	258214	1191.6	940.6	0.0%
	"Clarke County, AL"	"01025"	5172	472616	1094.3	942.3	0.0%
	"Clay County, AL"	"01027"	3271	250712	1304.7	995.7	0.0%
	"Cleburne County, AL"	"01029"	3077	263977	1165.6	1013.6	0.0%
	"Coffee County, AL"	"01031"	8583	856929	1001.6	896.7	0.0%
	"Colbert County, AL"	"01033"	11854	980619	1208.8	967.0	0.0%
	"Conecuh County, AL"	"01035"	3087	240029	1286.1	1017.9	0.0%
	"Coosa County, AL"	"01037"	2435	205706	1183.7	986.2	0.0%
	"Covington County, AL"	"01039"	9114	675056	1350.1	986.6	0.0%
	"Crenshaw County, AL"	"01041"	3237	248758	1301.3	1016.1	0.0%
	"Cullman County, AL"	"01043"	16582	1430571	1159.1	1009.7	0.0%
	"Dale County, AL"	"01045"	8382	891078	940.7	919.9	0.0%
	"Dallas County, AL"	"01047"	9825	789694	1244.2	1147.7	0.0%
	"DeKalb County, AL"	"01049"	13014	1237389	1051.7	985.0	0.0%
	"Elmore County, AL"	"01051"	11839	1353407	874.8	932.4	0.0%
	"Escambia County, AL"	"01053"	7993	683727	1169.0	1048.9	0.0%
	"Etowah County, AL"	"01055"	24449	1864049	1311.6	1093.6	0.1%
	"Fayette County, AL"	"01057"	4186	316242	1323.7	1031.3	0.0%
	"Franklin County, AL"	"01059"	6976	563568	1237.8	1101.1	0.0%
	"Geneva County, AL"	"01061"	5925	473304	1251.8	974.1	0.0%
	"Greene County, AL"	"01063"	1965	167097	1176.0	961.0	0.0%
	"Hale County, AL"	"01065"	3404	291975	1165.9	1024.3	0.0%
