"County"	"County Code"	"Deaths"	"Population"	"Crude Rate"
	"Autauga County, AL"	"01001"	5338	109652	4868.1
	"Baldwin County, AL"	"01003"	22452	526184	4266.9
	"Barbour County, AL"	"01005"	3675	71542	5136.8
	"Bibb County, AL"	"01007"	2685	51438	5219.9
	"Blount County, AL"	"01009"	7076	146136	4842.1
	"Bullock County, AL"	"01011"	1561	27577	5660.5
	"Butler County, AL"	"01013"	3567	63124	5650.8
	"Calhoun County, AL"	"01015"	16733	303171	5519.3
	"Chambers County, AL"	"01017"	6072	105417	5760.0
	"Cherokee County, AL"	"01019"	3863	81645	4731.5
	"Chilton County, AL"	"01021"	5510	104743	5260.5
	"Choctaw County, AL"	"01023"	2138	45362	4713.2
	"Clarke County, AL"	"01025"	3724	73218	5086.2
	"Clay County, AL"	"01027"	2438	44443	5485.7
	"Cleburne County, AL"	"01029"	2089	41412	5044.4
	"Coffee County, AL"	"01031"	6353	127814	4970.5
	"Colbert County, AL"	"01033"	8603	166455	5168.4
	"Conecuh County, AL"	"01035"	2175	42255	5147.3
	"Coosa County, AL"	"01037"	1693	34140	4959.0
	"Covington County, AL"	"01039"	6862	125286	5477.1
	"Crenshaw County, AL"	"01041"	2422	41934	5775.7
	"Cullman County, AL"	"01043"	12153	226345	5369.2
	"Dale County, AL"	"01045"	5837	121327	4811.0
	"Dallas County, AL"	"01047"	6575	112935	5821.9
	"DeKalb County, AL"	"01049"	9233	176908	5219.1
	"Elmore County, AL"	"01051"	8159	163233	4998.4
	"Escambia County, AL"	"01053"	5509	101951	5403.6
	"Etowah County, AL"	"01055"	17461	301747	5786.6
	"Fayette County, AL"	"01057"	3073	55797	5507.5
	"Franklin County, AL"	"01059"	4976	86734	5737.1
	"Geneva County, AL"	"01061"	4443	83338	5331.3
	"Greene County, AL"	"01063"	1288	26621	4838.3
	"Hale County, AL"	"01065"	2309	43124	5354.3
	"Henry County, AL"	"01067"	2821	54708	5156.5
	"Houston County, AL"	"01069"	12454	252560	4931.1
	"Jackson County, AL"	"01071"	8014	152397	5258.6
	"Jefferson County, AL"	"01073"	88485	1602327	5522.3
	"Lamar County, AL"	"01075"	2616	48472	5396.9
	"Lauderdale County, AL"	"01077"	13525	270317	5003.4
	"Lawrence County, AL"	"01079"	4573	87362	5234.5
	"Lee County, AL"	"01081"	10575	220730	4790.9
	"Limestone County, AL"	"01083"	7887	175096	4504.4
	"Lowndes County, AL"	"01085"	1555	30501	5098.2
	"Macon County, AL"	"01087"	3102	57107	5431.9
	"Madison County, AL"	"01089"	31438	700048	4490.8
	"Marengo County, AL"	"01091"	3269	62183	5257.1
	"Marion County, AL"	"01093"	5217	99199	5259.1
	"Marshall County, AL"	"01095"	12999	240468	5405.7
